Stn_Name,Lat,Long,Yr,Depth
CTD001,64.12844167,-83.13893333,2019,10.3
CTD002,64.08408333,-83.19393333,2019,20.4
CTD003,64.064625,-83.2497,2019,29.7
CTD004,64.03284167,-83.30611667,2019,32.4
CTD005,63.9503,-83.2932,2019,28.7
CTD006,63.86686667,-83.28125,2019,47.5
CTD007,63.82433333,-83.27454167,2019,47.5
CTD008,63.786125,-83.25918333,2019,54.5
CTD009,63.70404167,-83.22435833,2019,71.9
CTD010,63.61436667,-83.22671667,2019,85.9
CTD011,63.53425,-83.2121,2019,100
CTD012,63.44733333,-83.19898333,2019,113
CTD013,63.63496667,-82.35235,2019,12.4
CTD014,63.55760833,-82.297625,2019,65.4
CTD015,63.50533333,-82.21290833,2019,94.3
CTD016,63.423575,-82.178525,2019,102
CTD017 ,63.36178333,-82.12765833,2019,122
CTD018,63.2681,-82.070675,2019,163
CTD019,63.20045,-82.03919167,2019,193
CTD020,63.1224,-81.99368333,2019,218
CTD021,63.041975,-81.94170833,2019,224
CTD022,62.96464167,-81.83030833,2019,206
CTD023,63.25031667,-85.73861667,2019,42
CTD024,63.22838333,-85.68838333,2019,18.3
CTD025,63.26290833,-85.90035833,2019,54.1
CTD026,63.28950833,-86.07543333,2019,51.9
CTD027,63.31449167,-86.244525,2019,47.9
CTD028,63.37888333,-86.41820833,2019,41.9
CTD029,63.365825,-86.59668333,2019,38.6
CTD030,63.39150833,-86.76658333,2019,30.1
CTD031,63.4342,-86.47626667,2019,23.3
CTD032,63.44293333,-87.10886667,2019,14.3
CTD033,63.451075,-87.28298333,2019,10.2
CTD034,63.4787,-87.36611667,2019,21.6
CTD035,63.52693333,-87.3828,2019,17.1
CTD036 ,63.583575,-87.43005833,2019,38.6
CTD037,63.69259167,-87.443725,2019,42.3
CTD038,63.69291667,-87.44506667,2019,43.9
CTD039,63.70384167,-87.32260833,2019,13
CTD040 ,63.714,-88.424425,2019,113
CTD041,63.9878,-88.43114167,2019,25.9
CTD042,63.941025,-88.26955833,2019,54.5
CTD043,63.895175,-88.11455833,2019,108
CTD044,63.848175,-87.95521667,2019,142
CTD045,63.80223333,-87.80241667,2019,159
CTD046,63.75395,-87.64206667,2019,116
CTD047,63.7055,-87.505025,2019,53.6
CTD048,63.65881667,-87.33496667,2019,13.7
CTD049,64.33895833,-86.50075833,2019,37.9
CTD050,64.31801667,-86.41523333,2019,16.6
CTD051,64.355,-86.583925,2019,64.5
CTD052,64.39188333,-86.75631667,2019,107
CTD053 ,64.42756667,-86.9276,2019,108
CTD054,64.46505,-87.100325,2019,107
CTD055,64.50179167,-87.273175,2019,60.2
CTD056,64.53986667,-87.44869167,2019,28.7
CTD057,64.55295,-87.50466667,2019,12.9
CTD058 ,64.386375,-86.717425,2019,101
CTD059,65.03835,-86.92689167,2019,15
CTD060 ,65.02861667,-86.83704167,2019,28
CTD061,65.01860833,-86.73985833,2019,56
CTD062,65.00909167,-86.644775,2019,59
CTD063,64.9968,-86.54706667,2019,82
CTD064,64.99183333,-86.44991667,2019,70
CTD065,64.981325,-86.356875,2019,60
CTD066,64.972075,-86.27519167,2019,51
CTD067,64.96965833,-86.24881667,2019,20
