Stn_Name,Lat,Long,Yr,Depth
STNBI,64.01936667,-83.22021667,2019,10
STNBI,64.01936667,-83.22021667,2019,15
STN03 ,63.71595208,-83.24629167,2019,97.59375
STN05,63.23952389,-85.7330325,2019,41.2
STN06,63.67789444,-87.45010675,2019,43.83809524
STN08,64.33803571,-86.50843274,2019,37.91428571
STN10,64.97232135,-86.26847448,2019,39.46875
STN12,65.91459323,-85.76836979,2019,86.3625
STN13,66.30106646,-86.10381771,2019,192.9875
STN14,65.93566644,-84.71861644,2019,251.6666667
STN17,64.93005298,-83.0119869,2019,162.7857143
STNEB,64.05515104,-81.06956979,2019,71.1375
STN20,63.79415764,-80.09098403,2019,151.1666667
STN21,63.48613452,-80.85556071,2019,34.28571429
STN22,63.1191025,-81.95972167,2019,216.7
STN25,63.55578452,-84.1708125,2019,27.67857143
