Stn_Name,Lat,Long,Yr,Depth
STN03 ,63.71595208,-83.24629167,2019,97.59375
STN05,63.23952389,-85.7330325,2019,41.2
STN06,63.67789444,-87.45010675,2019,43.83809524
STN07,63.70970076,-88.4162598,2019,118.96875
STN08,64.33803571,-86.50843274,2019,37.91428571
STN10,64.97232135,-86.26847448,2019,39.46875
STN12,65.91459323,-85.76836979,2019,86.3625
STN13,66.30106646,-86.10381771,2019,192.9875
STN14,65.93566644,-84.71861644,2019,251.6666667
STN15,65.4990276,-84.76458108,2019,197.9166667
STN15,65.10478909,-83.14016548,2019,324.8571429
STN17,64.93005298,-83.0119869,2019,162.7857143
STN18,64.51488426,-81.25485093,2019,299.3333333
STN19,63.94376042,-79.68870324,2019,325.4444444
STN21,63.48613452,-80.85556071,2019,34.28571429
STN22,63.1191025,-81.95972167,2019,216.7
STN24,63.90167222,-83.54413981,2019,36.32777778
STN25,63.55578452,-84.1708125,2019,27.67857143
STN26,63.82511029,-83.32454818,2019,50.3484375
