Stn_Name,Lat,Long,Yr,Depth
STN03 ,63.71595208,-83.24629167,2019,97.59375
STN05,63.23952389,-85.7330325,2019,41.2
STN06,63.67789444,-87.45010675,2019,43.83809524
STN07,63.70970076,-88.4162598,2019,118.96875
STN08,64.33803571,-86.50843274,2019,37.91428571
STN09,64.39187118,-86.77878798,2019,99.675
STN10,64.97232135,-86.26847448,2019,39.46875
STN11,64.85320119,-86.54218899,2019,90.9
STN12,65.91459323,-85.76836979,2019,86.3625
STN14,65.93566644,-84.71861644,2019,251.6666667
STN21,63.48613452,-80.85556071,2019,34.28571429
STN24,63.90167222,-83.54413981,2019,36.32777778
STN25,63.55578452,-84.1708125,2019,27.67857143
STNWI,63.26482917,-83.69614167,2019,95
STN26,63.82511029,-83.32454818,2019,50.3484375
