Stn_Name,Sampled,Depth,Lat,Long
CTD001,CTD_Profile,10.3,64.12844167,-83.13893333
CTD002,CTD_Profile,20.4,64.08408333,-83.19393333
CTD003,CTD_Profile,29.7,64.064625,-83.2497
CTD004,CTD_Profile,32.4,64.03284167,-83.30611667
CTD005,CTD_Profile,28.7,63.9503,-83.2932
CTD006,CTD_Profile,47.5,63.86686667,-83.28125
CTD007,CTD_Profile,47.5,63.82433333,-83.27454167
CTD008,CTD_Profile,54.5,63.786125,-83.25918333
CTD009,CTD_Profile,71.9,63.70404167,-83.22435833
CTD010,CTD_Profile,85.9,63.61436667,-83.22671667
CTD011,CTD_Profile,100,63.53425,-83.2121
CTD012,CTD_Profile,113,63.44733333,-83.19898333
STNBI,Dive,10,64.01936667,-83.22021667
STNBI,Dive,15,64.01936667,-83.22021667
STN03 ,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,97.59375,63.71595208,-83.24629167
CTD013,CTD_Profile,12.4,63.63496667,-82.35235
CTD014,CTD_Profile,65.4,63.55760833,-82.297625
CTD015,CTD_Profile,94.3,63.50533333,-82.21290833
CTD016,CTD_Profile,102,63.423575,-82.178525
CTD017 ,CTD_Profile,122,63.36178333,-82.12765833
CTD018,CTD_Profile,163,63.2681,-82.070675
CTD019,CTD_Profile,193,63.20045,-82.03919167
CTD020,CTD_Profile,218,63.1224,-81.99368333
CTD021,CTD_Profile,224,63.041975,-81.94170833
CTD022,CTD_Profile,206,62.96464167,-81.83030833
STN04,Box_Core,217.5,63.146,-82.00901042
STN05,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Ponar,41.2,63.23952389,-85.7330325
CTD023,CTD_Profile,42,63.25031667,-85.73861667
CTD024,CTD_Profile,18.3,63.22838333,-85.68838333
CTD025,CTD_Profile,54.1,63.26290833,-85.90035833
CTD026,CTD_Profile,51.9,63.28950833,-86.07543333
CTD027,CTD_Profile,47.9,63.31449167,-86.244525
CTD028,CTD_Profile,41.9,63.37888333,-86.41820833
CTD029,CTD_Profile,38.6,63.365825,-86.59668333
CTD030,CTD_Profile,30.1,63.39150833,-86.76658333
CTD031,CTD_Profile,23.3,63.4342,-86.47626667
CTD032,CTD_Profile,14.3,63.44293333,-87.10886667
CTD033,CTD_Profile,10.2,63.451075,-87.28298333
CTD034,CTD_Profile,21.6,63.4787,-87.36611667
CTD035,CTD_Profile,17.1,63.52693333,-87.3828
CTD036 ,CTD_Profile,38.6,63.583575,-87.43005833
CTD037,CTD_Profile,42.3,63.69259167,-87.443725
CTD038,CTD_Profile,43.9,63.69291667,-87.44506667
STN06,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Ponar,43.83809524,63.67789444,-87.45010675
CTD039,CTD_Profile,13,63.70384167,-87.32260833
CTD040 ,CTD_Profile,113,63.714,-88.424425
STN07,Rosette_CTD, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,118.96875,63.70970076,-88.4162598
MOR01,Mooring,115,63.7122,-88.42018333
CTD041,CTD_Profile,25.9,63.9878,-88.43114167
CTD042,CTD_Profile,54.5,63.941025,-88.26955833
CTD043,CTD_Profile,108,63.895175,-88.11455833
CTD044,CTD_Profile,142,63.848175,-87.95521667
CTD045,CTD_Profile,159,63.80223333,-87.80241667
